2,4,5,LLE1,LLE2,LLE3,LLE4,LLE5,LLE6,LTSA1,LTSA2,LTSA3,LTSA4,LTSA5,LTSA6,Mod_LLE1,Mod_LLE2,Mod_LLE3,Mod_LLE4,Mod_LLE5,Mod_LLE6,Isomap1,Isomap2,Isomap3,Isomap4,Isomap5,Isomap6,MDS1,MDS2,MDS3,MDS4,MDS5,MDS6,SE1,SE2,SE3,SE4,SE5,SE6,tSNE1,tSNE2,tSNE3,tSNE4,tSNE5,tSNE6,blosum62_val1,blosum62_val2,blosum62_val3,blosum62_val4,blosum62_val5,blosum62_val6,tip_pos,protrusion,length,total_charge,nr_charged,Happiness_mean,Nr_sad,identity,similarity,Hydropathy,Hydropathy_diff,Access,Relacc,Scacc,Screlacc,local_CA,simlength,local_CA_nom
1.0,0.25,0.0,0.039491081679017916,0.5024378157544153,-0.3917907994926044,-0.32371599943809304,-0.3993385906252322,0.5729164921224988,-0.17208987978567658,-0.15340066117110132,-0.19157353465898627,-0.18452464346914704,-0.21044987509973265,0.9120385941773372,-0.2138009293587589,0.4315341701378763,-0.2859003823643901,-0.3054524667022467,-0.3246740072861359,0.6982936155736469,0.005282907167086757,9.910125325013091,-10.972778913785694,-1.7710821560059211,-11.095052322665515,13.923505160276955,-2.331233044902476,-6.144333758850817,2.175350168664988,4.498322900985413,-11.616897953731652,13.418791687834547,0.08660433439020497,0.3619177995505698,-0.2935821070396505,-0.24060838617037325,-0.3964843881924541,0.4010139769506222,-257.2529296875,75.85831451416016,-36.3008918762207,-384.0419616699219,202.6475067138672,-145.09326171875,7.873165912122161,8.78618963304935,10.044230544995557,6.052997652208393,10.399890876406259,2.8619325341554056,101,5.1305629999999995,13,0,2,0.91,0,0.5379999999999999,0.402,-0.1,0.0,301.803,191.692,270.92,201.495,3.1519999999999997,0.030923000000000006,>2<4
0.0,0.0,0.0,-0.4245257122838072,0.33954854088147435,-0.4427782948505139,0.1517710735920244,0.6433577083440674,-0.2673733156832473,0.0,0.0,0.0,0.0,0.0,1.0,0.3261634402184544,-0.22322759132739006,0.2973128491064397,-0.4819476515176424,-0.468945101567669,0.550644055087825,2.4869842234734905,-8.926612898350196,-0.4200876811218724,2.737413690192028,-11.75655914996778,15.878861815774329,-3.395806900899114,10.088743546755657,0.8859372919892615,-1.6710592921139684,8.466137555644128,-14.373952201375964,-0.2308452662448722,0.2446176107975579,-0.15374975730798665,0.10525374035117738,0.507813786915672,-0.4927828803580282,-176.94813537597656,-1054.2943115234377,222.41693115234366,1099.818115234375,634.2571411132812,-588.775390625,8.921083735094278,10.170047224496473,8.921083735094278,8.748545859237876,10.96272231356743,-0.2863317341564097,99,8.58098,21,3,11,0.725,4,0.33299999999999996,0.13699999999999998,-9.44,0.27,617.432,350.22,582.354,410.605,6.547999999999999,0.006523999999999999,>4<50
1.0,0.5,0.0,-0.13260644804335475,0.8564237830569925,-0.3354292848830103,0.07964768279576513,-0.3354292848830125,-0.13260644804338098,-1.7385889138551726e-16,6.892109189182002e-16,1.0,-1.399565021786676e-15,0.0,-3.4067005478760917e-16,0.052525007714956634,0.9930788578067304,0.052525007714952776,0.052525007714953616,0.05252500771495289,0.0525250077149535,-0.6095946902344764,0.6747399875887943,-7.929662549064408,-0.6095946902344757,9.083706632179043,-0.6095946902344774,0.5897911389100382,0.5897911389100382,2.094967514996089,2.825859116409828,-8.926268025635821,2.825859116409827,-0.2041241452319317,3.708994804513593e-16,-0.6123724356957934,0.2041241452319315,0.6123724356957955,-1.3824022881023605e-15,2295.136474609375,1140.066650390625,-1290.3690185546875,-74.85838317871094,-2448.511962890625,-74.85838317871094,7.988758235476898,7.988758235476898,6.152923259651582,7.988758235476898,10.26788361678662,7.988758235476898,98,7.036131,7,0,0,0.8909999999999999,0,0.28600000000000003,0.03,-0.1,0.24,215.83700000000002,170.083,177.607,196.43400000000003,0.993,0.004286,>0<2
0.25,0.0,0.0,-0.2861446524776238,-0.2906357741049185,-0.28905490579603904,0.5657426247873019,-0.2887057470701543,0.5887984546613347,-0.18748016755935454,-0.33895146547707666,-0.3389514654770765,0.5976987030159843,-0.5714877419174589,0.2263471142402631,-0.1950444420041322,-0.3730251706813612,-0.3726363065988959,0.5472495418017131,-0.19510471518103234,0.5885610926638922,1.9075844494027607,14.046106155061354,-2.3325930330894256,-13.531737310254615,13.350776489892885,-13.440136751012954,2.1611777890887383,4.463396641018467,-9.838235139884164,11.881857732015328,-8.541775206322548,-0.12642181591582494,0.011706880652720708,-0.2207207689447749,-0.22072076894477485,0.4651499376406338,-0.32696661015618866,0.4651499376406337,-1911.0782470703125,-577.312255859375,-577.312255859375,568.41455078125,2680.48193359375,1560.6353759765625,6.5214994683569385,12.307910367421426,12.307910367421426,2.3309331535592674,9.267066405909935,1.9300771928631089,101,4.538169,20,1,3,0.8540000000000001,0,0.2,-0.086,2.74,0.46,618.474,378.171,515.989,410.04699999999997,4.31,-0.0043,>4<50
1.0,0.0,0.0,-0.058121852733741625,0.1666672212683113,-0.5244663209155828,0.42370545531830783,-0.5109535661561756,0.5031690632188767,0.15801346998891802,0.2785448151551819,-0.08626417961669773,-0.7937258239615741,-0.06261360855508599,0.5060453269891102,-0.05617532063502447,-0.029268330692795164,-0.4541879483531994,0.596209331434115,-0.4933882740606664,0.436810542307581,-2.5618904256136097,-1.91032834141766,-10.68769900858153,15.23172992202435,-10.687699008581546,10.61588686217,-3.484813934845233,-11.571686225972671,-2.0097756839552567,9.963890038299976,-6.3431090172885884,13.445494823761768,0.09719150393388352,-0.1961719672107181,0.3552852519188396,-0.3086688362565429,0.3915013957064905,-0.3670249601964074,-39.26225662231445,-205.6758117675781,288.5293884277344,122.11392211914062,476.65716552734375,-393.7995910644531,6.737139083637527,7.759979216299803,12.544847412398601,-1.6347987860913389,12.544847412398601,0.07902775562933362,98,6.946555,8,0,4,0.768,1,0.625,0.583,-0.94,0.0,318.793,180.977,285.689,201.035,1.22,0.072875,>0<2
0.875,0.0,0.0,-0.2802723084917959,0.5739638600773235,-0.0824522337418333,-0.4009366911420929,-0.3559682232747028,0.5456655965731041,0.2298520785517722,-0.4461057784360163,-0.3911476999594294,0.4283778121967021,0.5342751358372664,-0.3552515481901681,-0.19302523488408,0.5736008499111941,-0.11556814735609472,-0.2886061825316735,-0.5062717519401588,0.5298704668008197,5.735369853120988,-11.411784728406285,-6.028715304579163,12.371306408966406,9.3500694278995,-10.016245657001438,-2.6972354160555683,-5.821930489552879,12.497425852904932,-12.165764127197974,1.4250205340364293,6.762483645865059,0.3387389311645653,-0.3387389311645652,-0.17451681527720364,0.1745168152772035,0.359973680510795,-0.3599736805107945,-134.90547180175778,50.15557861328125,456.7376708984375,240.996337890625,-541.4703369140625,-325.7434387207031,1.9929965465900807,12.097946235412962,8.932495069305528,3.003968790138095,-1.363371605925681,10.373895597628882,101,5.027204,10,-1,3,0.9059999999999999,0,0.6,0.426,0.26,0.0,470.81800000000004,255.58599999999998,423.444,282.64,1.484,0.0426,>0<2
0.0,0.0,0.0,0.2319104758036924,-0.6265595772806015,0.3402097157236044,0.2318219966235153,0.3405080906616608,-0.5178907015318581,-0.3643500893713445,0.4870264160661788,-0.13089224170480296,-0.2722629391263541,-0.1308922417048027,-0.7222614599506807,0.145054898473759,0.44099249276705377,-0.5561425598602437,0.146002403957642,-0.5561425598602441,0.3802353245223908,-2.991403097505629,16.473467694987733,-11.813201359555805,-2.9649417017045767,-11.813201359555812,13.10927982333408,-3.77833182334332,8.443561870279098,-7.138997001913313,-12.408380359125696,11.433696577488348,3.4484507366148787,0.011028860977473449,0.4514060522224214,-0.25894949379032256,-0.09586760229195562,-0.32154726166559483,0.4787537557076579,90.78018951416016,17.742094039916992,-126.11061096191406,-208.6573944091797,173.3390350341797,-53.08440399169922,5.235157403700747,-6.668214240067455,12.301116397920424,7.007278730714736,12.301116397920424,-5.051124954896369,101,6.478034,5,-2,2,0.888,0,0.8,0.778,-0.89,0.0,205.736,124.385,138.923,103.23700000000001,0.331,0.1556,>0<2
0.0,0.0,0.0,-0.36839520244568535,0.4651745456609585,-0.2797526316215577,0.4764471992044668,-0.5337580660607653,0.24028415526252964,-0.3808018107772699,0.06184577395661206,-0.1989786083180508,0.02777782738494386,-0.3425754577378498,0.8327322754917973,0.585657542429982,-0.3940808158120331,0.058633077725724576,-0.3147021524510732,0.4778640818854309,-0.4133717337780381,-11.866093288219373,3.4199622840175303,-2.193651317788674,6.481223372160881,-8.537786838995059,12.696345788824694,11.332312171949185,-1.0758735315149508,-9.265832370225482,0.12968018389807914,-8.10637885495948,6.986092400852652,-0.3084470140748541,0.3084470140748541,-0.14109202554433906,0.3084470140748544,-0.3084470140748542,0.4232760766330175,-216.7378692626953,20.95648193359375,-96.0405502319336,277.994384765625,141.63851928710938,-353.09234619140625,2.632050344612069,12.09962687251447,4.853415407002887,12.306660493779555,1.1471043298097559,7.852840430760389,98,9.323733,7,-1,1,0.758,1,0.429,0.314,0.71,0.0,429.714,280.815,312.94599999999997,232.485,1.153,0.044857,>0<2
1.0,0.0,0.0,-0.4332060923885461,-0.5406333752126189,-0.1939611362606788,0.4568065219443937,0.2530308953488566,0.4579631865686877,-0.30987642556031203,-0.4633212101787201,-0.4269394867642037,0.3387135923758519,0.5338635583907757,0.3275599717367693,0.2930896336131689,0.4534433500238374,0.4384332282924836,-0.303220819605093,-0.5742585376748047,-0.3074868546495925,-11.045960296651078,-13.559766033475633,-1.547341507244563,4.79925786649471,18.37858965262554,2.9752203182510226,-11.582252521987995,-4.595543069456389,1.8565747685530891,-5.503154334888951,8.987887489557965,10.83648766822228,0.40683776878535705,0.40683776878535705,0.40683776878535705,0.033907175588937216,0.033907175588937195,0.033907175588937195,2191.457275390625,-2380.891845703125,1077.2867431640623,-93.76789855957031,-1265.0419921875,-93.76789855957031,-0.8035724589697399,-2.138118523332849,1.8802815172592573,12.03966765279573,8.737816369021044,12.03966765279573,101,6.257925,5,1,1,0.856,0,0.4,0.10300000000000001,0.31,0.0,165.75099999999995,93.448,131.012,83.921,0.889,0.0206,>0<2
1.0,0.0,0.0,0.4096855268857295,-0.5638384332149385,0.09133222384997176,0.17104757277217608,-0.5392879566030221,0.4310610663100861,0.0,0.0,0.0,0.0,0.0,1.0,-0.32738085038050324,0.5252923026797547,0.07975358666853992,-0.2160319282315528,0.49925892358658597,-0.5608920343227951,3.526289134897133,-8.120719035657967,-2.7260550737379177,0.4896541756186103,-9.24271536066422,16.07354615954437,5.648916531842342,-5.94574737249727,-9.456873745589775,1.4242982504431256,-5.94574737249727,14.275153708298848,0.30844701407485425,-0.3084470140748543,-0.1410920255443391,0.3084470140748542,-0.3084470140748544,0.4232760766330175,777.60693359375,-705.5610961914062,-101.45396423339844,457.07757568359375,173.52151489257812,-385.0157470703125,6.640779693268504,12.43451713306958,10.639445752762178,9.124833448646132,12.43451713306958,-0.6680193491121084,99,7.720544,12,-2,4,0.8109999999999999,1,0.5,0.33799999999999997,-3.14,0.0,317.378,211.176,251.02200000000002,218.298,2.52,0.028167,>2<4
